STOP_ID,LATITUDE,STOP_NAME,LONGITUDE,TICKETZONE,ROUTEUSSP
"18557",-37.75874000,37-Albion St/Melville Rd (Brunswick West),144.94477100,"1","58"
"18558",-37.75676400,38-Jacobs Reserve/Melville Rd (Brunswick West),144.94515400,"1","58"
"18559",-37.75477900,39-McGregor Ave/Melville Rd (Brunswick West),144.94555000,"1","58"
"18560",-37.75342900,40-Moreland Rd/Melville Rd (Brunswick West),144.94565500,"1","58"
"18561",-37.74951200,41-Woodlands Ave/Melville Rd (Pascoe Vale South),144.94635400,"1","58"
"18562",-37.74661100,42-Reynard St/Melville Rd (Pascoe Vale South),144.94433400,"1","58"
"18563",-37.74412200,43-Princes Tce/Melville Rd (Pascoe Vale South),144.94476700,"1","58"
"18564",-37.74196600,44-Brearley Pde/Melville Rd (Pascoe Vale South),144.94513300,"1","58"
"1292",-37.73161900,38-Renown St/Sydney Rd (Coburg),144.96426600,"1","19"
"16713",-37.74147100,34-Bell St/Sydney Rd (Coburg),144.96647000,"1","19"
"16714",-37.74325900,33-Coburg Market/Sydney Rd (Coburg),144.96614800,"1","19"
"16715",-37.74506500,32-Munro St/Sydney Rd (Coburg),144.96583800,"1","19"
"16717",-37.75207300,30-The Avenue/Sydney Rd (Coburg),144.96463600,"1","19"
"16720",-37.75781500,27-Brunswick Tram Depot/Sydney Rd (Brunswick),144.96363900,"1","19"
"17306",-37.72758000,40-North Coburg Terminus/Sydney Rd (Coburg North),144.96365000,"1","19"
"17307",-37.72989100,39-Mercy College/Sydney Rd (Coburg North),144.96385900,"1","19"
"17308",-37.73211200,38-Carr St/Sydney Rd (Coburg North),144.96462700,"1","19"
"17309",-37.73385600,37-Gaffney St/Sydney Rd (Coburg North),144.96540700,"1","19"
"17310",-37.73553400,36-Rogers St/Sydney Rd (Coburg),144.96607600,"1","19"
"17311",-37.73750500,35-St Pauls Catholic Church/Sydney Rd (Coburg),144.96693000,"1","19"
"17312",-37.74115900,34-Bell St/Sydney Rd (Coburg),144.96666000,"1","19"
"17313",-37.74313600,33-Coburg Market/Sydney Rd (Coburg),144.96635600,"1","19"
"17314",-37.74488800,32-Harding St/Sydney Rd (Coburg),144.96605800,"1","19"
"17315",-37.74847400,31-Edward St/Sydney Rd (Coburg),144.96545000,"1","19"
"17319",-37.75742200,27-Brunswick Tram Depot/Sydney Rd (Brunswick),144.96387600,"1","19"
"1784",-37.73409700,37-Gaffney St/Sydney Rd (Coburg),144.96532100,"1","19"
"18078",-37.75856300,37-Albion St/Melville Rd (Brunswick West),144.94499100,"1","58"
"18079",-37.75662300,38-Jacobs Reserve/Melville Rd (Brunswick West),144.94538500,"1","58"
"18080",-37.75480000,39-Mattingley Cres/Melville Rd (Brunswick West),144.94570800,"1","58"
"18081",-37.75316300,40-Moreland Rd/Melville Rd (Brunswick West),144.94590100,"1","58"
"18082",-37.74931700,41-Woodlands Ave/Melville Rd (Pascoe Vale South),144.94655200,"1","58"
"18083",-37.74639900,42-Reynard St/Melville Rd (Pascoe Vale South),144.94455600,"1","58"
"18084",-37.74392800,43-Princes Tce/Melville Rd (Pascoe Vale South),144.94499900,"1","58"
"18085",-37.74159200,44-Brearley Pde/Melville Rd (Pascoe Vale South),144.94540400,"1","58"
"18086",-37.74011700,45-Bell St/Melville Rd (Pascoe Vale South),144.94559200,"1","58"
"2113",-37.73584000,36-Rogers St/Sydney Rd (Coburg),144.96605600,"1","19"
"378",-37.73043900,39-Mercy College/Sydney Rd (Coburg North),144.96375300,"1","19"
"19360",-37.75566300,131-De Carle St/Moreland Rd (Coburg),144.96635400,"1","6"
"19362",-37.75529200,133-Moreland Station/Cameron St (Coburg),144.96211900,"1","6"
"18588",-37.81575600,25-Brook St/Church St (Hawthorn),145.02098200,"1","48"
"18589",-37.81797100,24-Hill St/Church St (Hawthorn),145.01875300,"1","48"
"18591",-37.81072600,65-Victoria St/Church St (Richmond),145.00062400,"1","78"
"18592",-37.81259200,64-Elizabeth St/Church St (Richmond),145.00016500,"1","78"
"18593",-37.81431800,63-Tweedie Pl/Church St (Richmond),144.99988000,"1","78"
"18594",-37.81596200,62-Highett St/Church St (Richmond),144.99957400,"1","78"
"18595",-37.81872900,61-Bridge Rd/Church St (Richmond),144.99907900,"1","78"
"18596",-37.82030200,60-Abinger St/Church St (Richmond),144.99881000,"1","78"
"18597",-37.82183800,59-St Ignatius Church/Church St (Richmond),144.99854100,"1","78"
"18598",-37.82405800,58-Gipps St/Church St (Richmond),144.99816300,"1","78"
"18599",-37.82578200,57-Swan St/Church St (Richmond),144.99782100,"1","78"
"18601",-37.82897200,55-Adelaide St/Church St (Cremorne),144.99726900,"1","78"
"18602",-37.83033100,54-Cotter St/Church St (Cremorne),144.99718700,"1","78"
"19718",-37.81861800,18-Church St/Bridge Rd (Richmond),144.99942300,"1","75,48"
"18095",-37.81634100,11-Jolimont Station-MCG/Wellington Pde (East Melbourne),144.98481900,"1","75,48"
"18097",-37.81654000,13-Simpson St/Wellington Pde (East Melbourne),144.98698300,"1","75,48"
"18098",-37.81738800,14-Punt Rd/Wellington Pde (Melbourne City),144.98967500,"1","75,48"
"18099",-37.81753300,14-Punt Rd/Bridge Rd (Richmond),144.99021700,"1","75,48"
"18100",-37.81660300,13-Simpson St/Wellington Pde (East Melbourne),144.98697000,"1","75,48"
"18102",-37.81624600,11-Jolimont Station-MCG/Wellington Pde (East Melbourne),144.98399200,"1","75,48"
"18108",-37.81958700,7B-Rod Laver Arena/MCG Gates 1-3 (Melbourne City),144.97913000,"1","70"
"18116",-37.82238400,7C-MCG Gates 4-7/John Cain Arena (Melbourne City),144.98353000,"1","70"
"18118",-37.82413500,7D-Olympic Boulevard (Melbourne City),144.98685700,"1","70"
"18155",-37.82382700,7D-Olympic Boulevard (Melbourne City),144.98675100,"1","70"
"18161",-37.82213700,7C-MCG Gates 4-7/John Cain Arena (Melbourne City),144.98279800,"1","70"
"18172",-37.81934900,7B-Rod Laver Arena/MCG Gates 1-3 (Melbourne City),144.97842100,"1","70"
